segment_name,customer_count,avg_orders,avg_total_spent,avg_order_value,avg_recency_days,customer_percentage
High-Value Lapsed Customers,13187,1.0,515.3165162660196,515.3165162660196,317.7985252224116,13.722878401581767
Inactive Low_Value Customers,22904,1.0,98.96622860635696,98.96622860635696,479.7028331610273,23.83474686508143
Loyal Repeat Customers,2997,2.116116116116116,314.9892258925592,148.50054487104595,268.6729014046008,3.1187886986835944
Recent Low_Value Customers,25533,1.0,50.67457799710179,50.67457799710179,218.05303514317663,26.570581195691762
Recent Mid-Value Customers,31474,1.0,149.6083754845269,149.6083754845269,195.194539382191,32.753004838961445
